"UK_ID","NENDO","ANKEN_RIREKI_ID","THEME_NO","UK_APR","UK_MAY","UK_JUN","UK_JUL","UK_AUG","UK_SEP","UK_OCT","UK_NOV","UK_DEC","UK_JAN","UK_FEB","UK_MAR","UK_KAMIKI","UK_SHIMOKI","UK_TOTAL"
"37","2017","37",,"0","0","0","0","0","5000000","0","0","30000000","0","0","10000000","5000000","40000000","45000000"
"38","2017","38","25401-5634","0","0","861000","0","0","861000","0","0","0","0","0","0","1722000","0","1722000"
"39","2017","39",,"0","0","0","0","0","0","0","0","861000","0","0","861000","0","1722000","1722000"
"40","2017","40",,"0","0","0","0","0","600000","0","0","0","0","0","300000","600000","300000","900000"
"41","2017","41","25401-5434","0","0","1040000","0","0","0","0","0","0","0","0","0","1040000","0","1040000"
"42","2017","42",,"0","0","0","0","0","300000","0","0","0","0","0","0","300000","0","300000"
"43","2017","43","25401-5286","0","0","1921000","0","0","0","0","0","0","0","0","0","1921000","0","1921000"
"44","2017","44",,"0","0","0","0","0","512000","0","0","0","0","0","0","512000","0","512000"
"45","2017","45","25701-0130","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","300000","300000","600000"
"46","2017","46","25701-0230","150000","150000","150000","0","0","0","0","0","0","0","0","0","450000","0","450000"
"47","2017","47","25701-0210","400000","400000","400000","400000","400000","400000","0","0","0","0","0","0","2400000","0","2400000"
"48","2017","48","25701-0180","575000","575000","575000","575000","575000","775000","0","0","0","0","0","0","3650000","0","3650000"
"49","2017","49","25701-0220","600000","825000","725000","725000","726000","644000","0","0","0","0","0","0","4245000","0","4245000"
"50","2017","50","25701-0250","0","0","203000","0","0","204000","0","0","203000","0","0","204000","407000","407000","814000"
"51","2017","51","25701-0240","95000","95000","95000","95000","95000","95000","0","0","0","0","0","0","570000","0","570000"
"52","2017","52","25701-0260","50000","50000","50000","0","0","0","0","0","0","0","0","0","150000","0","150000"
"53","2017","53","25701-0160","650000","650000","640000","0","0","0","0","0","0","0","0","0","1940000","0","1940000"
"54","2017","54","25701-0200","100000","90000","90000","0","0","0","0","0","0","0","0","0","280000","0","280000"
"55","2017","55","25701-0150","250000","250000","250000","250000","250000","250000","0","0","0","0","0","0","1500000","0","1500000"
"56","2017","56","25701-0240","60000","60000","60000","60000","60000","60000","0","0","0","0","0","0","360000","0","360000"
"57","2017","57","25401-5950","390000","0","0","0","0","0","0","0","0","0","0","0","390000","0","390000"
"58","2017","58","25401-5881","360000","0","0","0","0","0","0","0","0","0","0","0","360000","0","360000"
"59","2017","59","25401-5970","0","0","10000000","0","0","0","0","0","0","0","0","0","10000000","0","10000000"
"60","2017","60",,"0","0","0","0","0","0","0","0","1100000","0","0","0","0","1100000","1100000"
"61","2017","61","25401-5801","0","0","0","0","0","800000","0","0","0","0","0","0","800000","0","800000"
"62","2017","62","25401-5801","0","0","0","0","0","1000000","0","0","0","0","0","0","1000000","0","1000000"
"63","2017","63","25401-5940","0","0","0","0","0","600000","0","0","0","0","0","0","600000","0","600000"
"64","2017","64","25401-5940","0","0","0","0","0","500000","0","0","0","0","0","0","500000","0","500000"
"65","2017","65","25401-5940","0","0","0","0","0","1000000","0","0","0","0","0","0","1000000","0","1000000"
"66","2017","66","25401-5940","0","0","0","0","0","3000000","0","0","0","0","0","0","3000000","0","3000000"
"67","2017","67",,"0","0","0","0","0","2600000","0","0","0","0","0","0","2600000","0","2600000"
"68","2017","68",,"0","0","0","0","0","27000000","0","0","1000000","0","0","23000000","27000000","24000000","51000000"
"69","2017","69","25401-4548","0","0","0","0","0","800000","0","0","0","0","0","0","800000","0","800000"
"70","2017","70","25401-5950","100000","0","0","0","0","0","0","0","0","0","0","0","100000","0","100000"
"71","2017","71","25401-5754","0","0","540000","0","0","0","0","0","0","0","0","0","540000","0","540000"
"72","2017","72","25401-5881","25000","0","0","0","0","0","0","0","0","0","0","0","25000","0","25000"
"73","2017","73","25401-5980","0","0","3100000","0","0","0","0","0","0","0","0","0","3100000","0","3100000"
"74","2017","74",,"0","0","0","0","0","800000","0","0","0","0","0","0","800000","0","800000"
"75","2017","75",,"0","0","0","0","0","10000000","0","0","0","0","0","0","10000000","0","10000000"
"76","2017","76",,"0","0","0","0","0","0","0","0","10000000","0","0","10000000","0","20000000","20000000"
"77","2017","77",,"0","0","0","0","0","2000000","0","0","0","0","0","2000000","2000000","2000000","4000000"
"78","2017","78",,"0","0","0","0","0","5000000","0","0","0","0","0","6000000","5000000","6000000","11000000"
"79","2017","79",,"0","0","0","0","0","2500000","0","0","0","0","0","2500000","2500000","2500000","5000000"
"80","2017","80","25401-5574","0","0","0","0","0","3000000","0","0","0","0","0","1000000","3000000","1000000","4000000"
"81","2017","81","25401-5931","0","140000","0","0","0","0","0","0","0","0","0","0","140000","0","140000"
"82","2017","82","25401-5773","0","0","0","0","0","2000000","0","0","0","0","0","0","2000000","0","2000000"
"83","2017","83","25401-5774","0","0","0","0","0","0","0","0","0","0","0","6058000","0","6058000","6058000"
"84","2017","84",,"0","0","0","0","0","0","0","0","0","0","0","2299000","0","2299000","2299000"
"85","2017","85",,"0","0","0","0","0","456000","0","0","0","0","0","0","456000","0","456000"
"86","2017","86","25401-4548","0","0","0","0","0","40000","0","0","0","0","0","0","40000","0","40000"
"87","2017","87",,"0","0","0","0","0","0","0","0","0","0","0","4900000","0","4900000","4900000"
"88","2017","88","25401-4548","0","0","0","0","0","1915000","0","0","0","0","0","0","1915000","0","1915000"
"89","2017","89",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"90","2017","90","25401-4548","0","0","0","0","0","1567000","0","0","0","0","0","0","1567000","0","1567000"
"91","2017","91",,"0","0","0","0","0","0","0","0","0","0","0","1500000","0","1500000","1500000"
"92","2017","92",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"93","2017","93","25401-5434","0","0","0","0","0","1900000","0","0","0","0","0","0","1900000","0","1900000"
"94","2017","94",,"0","0","0","0","0","0","0","0","0","0","0","1100000","0","1100000","1100000"
"95","2017","95",,"0","0","0","0","0","6000000","0","0","0","0","0","6000000","6000000","6000000","12000000"
"96","2017","96",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
